record_index,station_id,t3_utc_seconds,t1_tdb_seconds,t1_utc_seconds,t2_tdb_seconds,t2_utc_seconds,t3_tdb_seconds,tau_up_seconds,tau_down_seconds,total_light_time_seconds,range_uplink_km,range_downlink_km
0,DSS-15,2052248432.0,2052247472.800899,2052247403.616899,2052247986.9762816,2052247917.7922816,2052248501.184,514.1753826685034,514.2077182880431,1028.3831009565465,154145901.81328124,154155595.788144
1,DSS-15,2052249032.0,2052248072.978976,2052248003.794976,2052248587.0653276,2052248517.8813276,2052249101.184,514.0863516439421,514.1186723757806,1028.2050240197227,154119210.98358974,154128900.495232
2,DSS-15,2052249632.0,2052248673.156986,2052248603.972986,2052249187.1543388,2052249117.9703388,2052249701.184,513.9973528398472,514.0296611159953,1028.0270139558424,154092529.81335106,154102215.59087124
3,DSS-15,2052250232.0,2052249273.3349328,2052249204.1509328,2052249787.2433174,2052249718.0593174,2052250301.184,513.9083844786446,513.9406827474229,1027.8490672260675,154065857.7696619,154075540.5470481
4,DSS-15,2052250832.0,2052249873.512819,2052249804.328819,2052250387.3322642,2052250318.1482642,2052250901.184,513.8194451638086,513.8517358853024,1027.671181049111,154039194.4338544,154048874.94862163
5,DSS-15,2052251432.0,2052250473.6906474,2052250404.5066473,2052250987.421181,2052250918.237181,2052251501.184,513.7305335085892,513.7628191499789,1027.4933526585683,154012539.39019132,154022218.38198164
6,DSS-15,2052252032.0,2052251073.8684208,2052251004.6844208,2052251587.510069,2052251518.3260689,2052252101.184,513.6416481335751,513.6739311644321,1027.3155792980074,153985892.2251356,153995570.4343079
7,DSS-15,2052252632.0,2052251674.0461416,2052251604.8621416,2052252187.5989294,2052252118.4149294,2052252701.184,513.5527876848533,513.5850705724632,1027.1378582573166,153959252.5327943,153968930.6990222
8,DSS-15,2052253232.0,2052252274.2238102,2052252205.0398102,2052252787.6877625,2052252718.5037625,2052253301.184,513.4639522809774,513.4962374855702,1026.9601897665475,153932620.34870893,153942299.20955083
9,DSS-15,2052253832.0,2052252874.401421,2052252805.217421,2052253387.7765656,2052253318.5925655,2052253901.184,513.3751444464926,513.4074344166407,1026.7825788631335,153905996.42971906,153915676.71923852
10,DSS-15,2052254432.0,2052253474.578969,2052253405.394969,2052253987.865336,2052253918.681336,2052254501.184,513.2863669205208,513.3186640885075,1026.6050310090282,153879381.59699282,153889064.04437
11,DSS-15,2052255032.0,2052254074.7564483,2052254005.5724483,2052254587.9540708,2052254518.7700708,2052255101.184,513.1976224306344,513.2299292078579,1026.4275516384923,153852776.6682358,153862461.99638972
12,DSS-54,2052300655.0,2052299711.4588969,2052299642.2748969,2052300217.80525,2052300148.62125,2052300724.184,506.3463529943571,506.3787500338809,1012.725103028238,151798817.76351398,151808530.15162474
13,DSS-54,2052301255.0,2052300311.6413126,2052300242.4573126,2052300817.8964772,2052300748.7124772,2052301324.184,506.2551646926993,506.28752284221287,1012.5426875349121,151771480.19841912,151781180.92759812
14,DSS-54,2052301855.0,2052300911.8236146,2052300842.6396146,2052301417.9876468,2052301348.8036468,2052301924.184,506.16403219652886,506.1963532025947,1012.3603853991235,151744159.3633885,151753848.95724204
15,DSS-54,2052302455.0,2052301512.0057569,2052301442.8217568,2052302018.0787356,2052301948.8947356,2052302524.184,506.07297871119977,506.1052643860564,1012.1782430972562,151716862.21521226,151726541.21703568
16,DSS-54,2052303055.0,2052302112.1876934,2052302043.0036933,2052302618.1697206,2052302548.9857206,2052303124.184,505.98202717830543,506.0142793963856,1011.9963065746911,151689595.63160697,151699264.6033412
17,DSS-54,2052303655.0,2052302712.369408,2052302643.1854079,2052303218.2605937,2052303149.0765936,2052303724.184,505.8911857052141,505.92340639697204,1011.8145921021862,151662362.0431006,151672021.56348115
18,DSS-54,2052304255.0,2052303312.5509264,2052303243.3669264,2052303818.3513677,2052303749.1673677,2052304324.184,505.8004411596559,505.83263230420164,1011.6330734638575,151635157.5127376,151644808.1750868
19,DSS-54,2052304855.0,2052303912.7322788,2052303843.5482788,2052304418.4420576,2052304349.2580576,2052304924.184,505.70977880013857,505.74194242118944,1011.451721221328,151607977.6211298,151617620.03214285
20,DSS-54,2052305455.0,2052304512.9134939,2052304443.7294939,2052305018.532678,2052304949.3486779,2052305524.184,505.6191839100433,505.6513220721277,1011.270505982171,151580817.95634592,151590452.7349528
21,DSS-54,2052306055.0,2052305113.0946016,2052305043.9106016,2052305618.6232433,2052305549.4392433,2052306124.184,505.5286417953869,505.56075659989443,1011.0893983952813,151553674.11324057,151563301.88942206
22,DSS-54,2052306655.0,2052305713.2756305,2052305644.0916305,2052306218.7137685,2052306149.5297685,2052306724.184,505.4381379417009,505.4702315229476,1010.9083694646486,151526541.74048558,151536163.15409353
23,DSS-54,2052307255.0,2052306313.4565945,2052306244.2725945,2052306818.80426,2052306749.62026,2052307324.184,505.34766556833387,505.3797400909032,1010.7274056592371,151499418.80529276,151509034.50525302
24,DSS-54,2052307855.0,2052306913.6374846,2052306844.4534845,2052307418.8947134,2052307349.7107134,2052307924.184,505.2572289224966,505.2892865792867,1010.5465155017832,151472306.58094394,151481917.22467077
25,DSS-54,2052308455.0,2052307513.8182907,2052307444.6342907,2052308018.9851239,2052307949.8011239,2052308524.184,505.1668331149848,505.19887612320764,1010.3657092381925,151445206.5996171,151454812.8518139
26,DSS-54,2052309055.0,2052308113.999003,2052308044.815003,2052308619.0754862,2052308549.8914862,2052309124.184,505.07648327409623,505.1085138710622,1010.1849971451584,151418120.3987372,151427722.93013284
27,DSS-54,2052309655.0,2052308714.1796105,2052308644.9956105,2052309219.165795,2052309149.981795,2052309724.184,504.9861845430414,505.0182049819324,1010.0043895249738,151391049.52019998,151400649.00628135
28,DSS-54,2052310255.0,2052309314.3601036,2052309245.1761036,2052309819.2560456,2052309750.0720456,2052310324.184,504.8959418800888,504.9279544256429,1009.8238963057318,151363995.45045695,151373592.57017544
29,DSS-25,2052330070.0,2052329135.376397,2052329066.1923969,2052329637.2642019,2052329568.0802019,2052330139.184,501.8878049950029,501.91979813542224,1003.8076031304252,150462178.6996766,150471770.00188205
30,DSS-25,2052330670.0,2052329735.560366,2052329666.376366,2052330237.3562033,2052330168.1722033,2052330739.184,501.7958373106948,501.8277966459844,1003.6236339566792,150434607.4815413,150444188.6492238
31,DSS-25,2052331270.0,2052330335.7441154,2052330266.5601153,2052330837.448094,2052330768.2640939,2052331339.184,501.7039784710369,501.73590610488765,1003.4398845759246,150407068.89421123,150416640.55804145
32,DSS-25,2052331870.0,2052330935.9276595,2052330866.7436595,2052331437.5398808,2052331368.3558807,2052331939.184,501.61222122289513,501.6441193067664,1003.2563405296615,150379560.76325148,150389123.56822076
33,DSS-25,2052332470.0,2052331536.1110134,2052331466.9270134,2052332037.6315713,2052331968.4475713,2052332539.184,501.5205579624691,501.55242869217767,1003.0729866546468,150352080.8091001,150361635.41349766
34,DSS-25,2052333070.0,2052332136.2941933,2052332067.1101933,2052332637.7231739,2052332568.5391738,2052333139.184,501.4289806239829,501.4608262363054,1002.8898068602883,150324626.6136982,150334173.6880929
35,DSS-25,2052333670.0,2052332736.477215,2052332667.293215,2052333237.814696,2052333168.630696,2052333739.184,501.3374811348304,501.36930390329735,1002.7067850381277,150297195.75693944,150306735.9829185
36,DSS-25,2052334270.0,2052333336.6600947,2052333267.4760947,2052333837.9061463,2052333768.7221463,2052334339.184,501.2460514459813,501.27785367656514,1002.5239051225465,150269785.8257852,150279319.89466178
